image,major_mean,major_std,minor_mean,minor_std,aspect_ratio_mean,aspect_ratio_std,contour_area_mean,contour_area_std,roughness_mean,roughness_std,solidity_mean,solidity_std,mean_red_mean,mean_green_mean,mean_blue_mean,VarietyID_
r318.JPG,59.502180099487305,19.50194601647686,26.84261703491211,4.039670901126273,0.4838079887237837,0.1436278742839366,4740.625,1990.2594627753103,21.83470876433596,4.490898431850599,0.9210318379917506,0.0641076295705062,115.05003133923856,174.9726010908197,211.01187822571,103
r319.JPG,71.75182342529297,3.0096721328967537,21.654439608256023,1.9068882932793674,0.3015525406050179,0.019919464468467034,4697.333333333333,741.6780748186283,22.907278101781703,2.375467567340166,0.9561304508282168,0.050090248390916865,117.89370598896109,175.27218216541044,217.7814119252007,1
r320.JPG,72.42972717285156,7.717918402546978,24.55154495239258,5.137373071967851,0.3405496100334533,0.0746110255832986,5281.4,1252.6815437292912,21.860916404831084,4.974536036176191,0.9420431681967635,0.015279919141442458,116.8556532505401,180.43958819074635,223.02407357895905,27
r321.JPG,74.12127532958985,5.879400998403368,24.75538558959961,3.282576273177657,0.33307210478406307,0.026501750777761998,5536.4,1019.2143665588707,26.202276327194404,3.5351730936699512,0.95581855363331,0.03898055410452514,119.36986847368811,182.83482827767085,219.34781780746016,123
r322.JPG,82.81578216552734,5.493166664031263,24.430583190917968,1.295650667095443,0.2952024145937938,0.003901361012007767,6046.1,665.147577609661,22.656366400435548,5.13875592492173,0.9496949877834602,0.027265545094345596,126.25871249470397,179.160645832165,213.343920182182,153
r323.JPG,82.5048095703125,3.468163367260607,24.24475517272949,1.3114906217626785,0.2939637494765889,0.013428893413892164,6106.5,489.41176426399886,22.16102157127254,2.827139968188017,0.9711573165367777,0.012676231225633687,119.97809110535832,176.9695769897723,215.59793856452325,155
r324.JPG,85.5867691040039,4.475552391319663,25.12066764831543,1.6327133501688942,0.29348158483559283,0.01062973879684023,6574.0,802.4057577061619,20.452968946048426,5.756442797415916,0.9703121505629655,0.010149650582232618,134.67188988039544,189.6494785180022,224.3953358947369,58
r325.JPG,73.34503936767578,3.7367248318088153,24.065113703409832,2.617392092650209,0.3276123641435226,0.02328495437168862,5434.166666666667,870.4575425219391,20.49596164904131,4.775864027834736,0.9761571948809348,0.008924907582012632,135.90720517043223,197.6394716415498,227.83371858143434,78
r326.JPG,82.9015884399414,,26.037397384643555,,0.3140759770062369,,6010.5,,26.65817369945536,,0.8863399107570386,,132.80652982059155,194.81154032649104,233.034427024406,4
r327.JPG,71.65620269775391,3.7653238997609177,27.643957901000977,1.8314462759783856,0.386134862625919,0.024052578779480197,6043.5,530.9259599981904,17.70980910123682,3.824750303152821,0.9709745364001814,0.021842936786669914,129.6899294801052,196.69106176576716,237.48868980522812,52
r328.JPG,74.51689147949219,8.275331475315049,24.12783737182617,2.62342076775067,0.3251501088047479,0.03393467178681044,5504.3,1006.3685085494279,20.087175309346065,0.9355528880104942,0.969741043485303,0.021995944814413953,127.26315444372979,194.09939223211035,234.63794727562785,66
r329.JPG,59.27894537789481,21.62990606432321,23.176481655665807,4.9324632888369475,0.41456115636680735,0.0874165717186463,4190.571428571428,2652.2580855529413,18.453218183254055,3.38691792297946,0.8649248268791928,0.12706854260431827,108.94517844182833,178.93831254546473,218.80936246300936,140
r330.JPG,85.70130615234375,10.197035737597904,23.923365783691406,2.1419195587804953,0.28263421563851193,0.04315176339635692,6049.2,871.5637240041602,21.789479090166502,3.1872590026652596,0.9407463759931713,0.04148428888511018,120.64072589101681,184.39261947297342,223.76949536456422,148
r331.JPG,79.70809173583984,7.003810543189369,29.635950724283855,2.6831205463217196,0.3718940502589592,0.011742313286959542,7340.833333333333,1207.648783104315,17.60228725646142,2.273046417849204,0.9850943017357293,0.012930420302131845,132.92223213268122,200.60096243632202,237.6867478858476,5
r332.JPG,78.73267669677735,6.963704609082728,28.424138641357423,0.7542644120626011,0.3632994420247534,0.03364895845781705,6837.6,754.3763483832192,20.275546252694106,3.08340540503663,0.9712253926934892,0.023521070284409296,134.49993480989912,195.28128052340634,235.09739260482533,9
r333.JPG,82.4109878540039,,31.22863006591797,,0.3789376984685755,,8154.0,,17.92154986858675,,1.0085159737393383,,141.3405762304922,215.10396158463385,248.34249699879953,10
r334.JPG,74.18352661132812,4.3593770036863155,27.95255470275879,2.585405042590983,0.3765173867185353,0.020857081361452784,6397.3,1027.8203028739995,18.453916036425248,2.636358768793854,0.9769185472079052,0.016043812864801735,138.67452328677328,198.20116228729188,238.23431216546538,11
r335.JPG,76.74205780029297,,28.34167098999023,,0.3693108029985878,,6857.5,,17.400229236613725,,1.0035916771804518,,136.68837275577087,199.74893131946425,236.20091194072384,13
r336.JPG,71.4678451538086,4.003294256106467,25.882380294799805,2.099580728618932,0.3624435535741982,0.027324242318378107,5749.5,670.5274975718744,19.033016911666913,3.6989187195554742,0.9878967637246296,0.008646831604368058,134.27055063707857,197.34605958272175,234.1020610048801,15
r337.JPG,77.0477294921875,4.34878870520573,30.116820335388184,0.4761002416731267,0.39133420712973443,0.01590870420623605,6691.75,111.36931803688124,21.848166023610005,2.6922492291529485,0.9193907217176563,0.051127004410155434,127.45970240815917,201.3224419115145,238.3690028512715,18
r338.JPG,66.6615219116211,,24.793216705322266,,0.3719269526758294,,5012.0,,22.13147739770412,,0.9652795126003372,,132.789738625363,198.61219748305905,238.37502420135527,19
r339.JPG,74.90224075317383,9.899137204138746,26.487223052978514,1.983476482547649,0.35685594068133863,0.034870396386079985,5996.0,1244.4246160374682,22.453882817879997,3.568386755580734,0.9542763826931727,0.029647579214093847,113.93803829259787,173.4919371754526,209.97403300301553,24
r340.JPG,76.5326934814453,2.973354263931325,27.997918319702148,1.5664923671558215,0.3659844531795544,0.019088434544583106,6525.3,478.5831432468134,17.795556149389874,2.7177527384547293,0.9691094382569807,0.015082084767497091,126.53818358827273,198.29929237498123,242.3433393146409,28
r341.JPG,84.457421875,4.211873842900611,25.57904167175293,1.1850298499383736,0.30371468981348915,0.02475950467604918,6468.0,462.8011181922533,17.661069561959494,1.4806722478932628,0.9530878140746578,0.024624437195510596,133.93571744944796,194.0454166060272,235.07974953261146,33
